id,name,lon,lat
228,Gate near: SD 49086 97831,-2.7852482,54.373423
229,Gate near: SD 47880 97803,-2.8038067,54.37305
230,Gate near: SD 49000 97879,-2.7865855,54.373849
231,Gate near: SD 48108 97883,-2.8003087,54.373796
232,Gate near: SD 26731 92586,-3.1280158,54.323566
233,Gate near: NY 34731 04056,-3.0075526,54.427718
234,Gate near: NY 32785 13547,-3.0397119,54.512754
235,Gate near: NY 46638 01593,-2.8236079,54.406981
236,Gate near: SD 47122 98742,-2.8156361,54.38141
237,Gate near: NY 24854 21396,-3.164184,54.582162
238,Gate near: NY 25132 19599,-3.1594257,54.56605
239,Gate near: NY 26016 18751,-3.1455409,54.558562
240,Gate near: NY 26043 18737,-3.1451234,54.558444
241,Gate near: NY 25098 19635,-3.1599627,54.566375
242,Gate near: NY 25507 19118,-3.1535044,54.561791
243,Gate near: NY 26757 19718,-3.1343295,54.567359
244,Gate near: SD 22504 98665,-3.1945715,54.377562
245,Gate near: SD 22996 99142,-3.1871149,54.381926
246,Gate near: SD 30415 96624,-3.0723309,54.360368
247,Gate near: SD 30381 96088,-3.0727233,54.355552
248,Gate near: SD 30329 95622,-3.0734092,54.351354
249,Gate near: SD 30292 95343,-3.0739172,54.348846
250,Gate near: SD 30295 96968,-3.0742529,54.363446
251,Gate near: SD 55867 76790,-2.6777673,54.184969
252,Gate near: SD 55811 76562,-2.6785816,54.182921
253,Gate near: SD 56969 78343,-2.6610933,54.199028
254,Gate near: SD 53152 75696,-2.7191842,54.174902
255,Gate near: NY 18869 08696,-3.2532727,54.467127
256,Gate near: NY 18691 08772,-3.2560312,54.467784
257,Gate near: NY 16860 18628,-3.2870583,54.556033
258,Gate near: NY 57292 02543,-2.6596128,54.416523
259,Gate near: NY 57371 02389,-2.658377,54.415153
260,Gate near: NY 56562 04359,-2.6711361,54.432781
261,Gate near: NY 56962 02970,-2.6647617,54.420339
262,Gate near: NY 54892 05748,-2.6970815,54.44512
263,Gate near: NY 55313 06819,-2.6907568,54.454778
264,Gate near: SD 63935 90543,-2.5558041,54.3092
265,Gate near: NY 43786 06879,-2.868542,54.454172
266,Gate near: NY 41786 06889,-2.8993777,54.454036
267,Gate near: NY 41921 06125,-2.8971604,54.44719
268,Gate near: NY 41720 03092,-2.8996608,54.419914
269,Gate near: NY 41683 02733,-2.9001493,54.416678
270,Gate near: NY 32647 25966,-3.044691,54.624323
271,Gate near: NY 49322 31041,-2.7873323,54.671872
272,Gate near: NY 61594 66365,-2.6017648,54.990379
273,Gate near: NY 63057 66237,-2.5788894,54.989346
274,Gate near: NY 63198 66151,-2.5766618,54.98858
275,Gate near: NY 63290 66162,-2.5752306,54.988683
276,Gate near: NY 63382 66203,-2.5737986,54.989061
277,Gate near: SD 44478 77583,-2.8524021,54.190992
278,Gate near: SD 44682 77330,-2.8492315,54.188743
279,Gate near: SD 45064 76632,-2.8432581,54.182507
280,Gate near: SD 44700 76370,-2.8487812,54.180117
281,Gate near: SD 44733 76354,-2.8482703,54.179974
282,Gate near: SD 45164 77052,-2.8417985,54.186297
283,Gate near: SD 45098 76605,-2.8427224,54.18227
284,Gate near: SD 45078 78091,-2.8433069,54.195622
285,Gate near: SD 45912 78825,-2.8306509,54.20231
286,Gate near: NY 44271 02730,-2.860282,54.416946
287,Gate near: SD 68139 93401,-2.4914892,54.335167
288,Gate near: SD 68380 93845,-2.4878411,54.339172
289,Gate near: SD 68484 94076,-2.4862618,54.341255
290,Gate near: SD 68696 94460,-2.4830346,54.344716
291,Gate near: NY 41910 12887,-2.8986609,54.507951
292,Gate near: SD 66189 81778,-2.5201668,54.230589
293,Gate near: NY 46832 10287,-2.8221844,54.485125
294,Gate near: NY 46147 10405,-2.8327768,54.486112
295,Gate near: SD 54179 77343,-2.7037042,54.189793
296,Gate near: SD 54021 77428,-2.7061432,54.190541
297,Gate near: SD 53976 77588,-2.7068507,54.191975
298,Gate near: SD 54172 77776,-2.7038758,54.193686
299,Gate near: SD 54370 77983,-2.7008767,54.195567
300,Gate near: SD 66365 81438,-2.5174314,54.227545
301,Gate near: NY 12549 01830,-3.3487179,54.404391
302,Gate near: NY 08480 15263,-3.4155407,54.524358
303,Gate near: NY 08154 15335,-3.4206075,54.524941
304,Gate near: NY 57794 26916,-2.6553797,54.635595
305,Gate near: NY 18927 14761,-3.2540454,54.521627
306,Gate near: NY 18781 14318,-3.2561646,54.517625
307,Gate near: NY 18298 15445,-3.2639467,54.527671
308,Gate near: NY 31567 02584,-3.0559743,54.41408
309,Gate near: NY 30419 01129,-3.0733219,54.400852
310,Gate near: NY 18774 09144,-3.2548618,54.471136
311,Gate near: NY 27156 27538,-3.1301129,54.637684
312,Gate near: SD 52503 78070,-2.7295065,54.196171
313,Gate near: NY 21006 24572,-3.2245677,54.610107
314,Gate near: SD 55120 80902,-2.6898158,54.221865
315,Gate near: SD 55037 80434,-2.6910291,54.217647
316,Gate near: SD 64106 90955,-2.5532149,54.312916
317,Gate near: SD 64304 90916,-2.550177,54.312584
318,Gate near: NY 17397 16847,-3.2782559,54.540119
319,Gate near: NY 17382 16458,-3.2783817,54.536625
320,Gate near: SD 35214 98027,-2.9987992,54.373608
321,Gate near: SD 35128 98001,-3.0001204,54.373369
322,Gate near: SD 35083 97969,-3.0007944,54.373072
323,Gate near: SD 34991 97989,-3.0022174,54.373236
324,Gate near: SD 35076 97938,-3.0008988,54.372795
325,Gate near: SD 34967 98135,-3.0026278,54.374551
326,Gate near: SD 55484 77375,-2.6837145,54.190201
327,Gate near: SD 34635 84060,-3.0046392,54.248031
328,Gate near: NY 55494 00617,-2.6870297,54.399064
329,Gate near: NY 55482 01222,-2.687301,54.4045
330,Gate near: NY 55244 01728,-2.6910444,54.409024
331,Gate near: NY 55084 02511,-2.6936356,54.416051
332,Gate near: NY 41269 02458,-2.9064822,54.414166
333,Gate near: NY 17611 16883,-3.274956,54.540477
334,Gate near: NY 17650 16631,-3.2742888,54.538219
335,Gate near: NY 45160 04172,-2.8468496,54.429998
336,Gate near: NY 45176 03943,-2.8465612,54.427943
337,Gate near: SD 41043 80216,-2.9055545,54.214268
338,Gate near: NY 27453 23817,-3.1245915,54.604288
339,Gate near: SD 35161 98019,-2.9996117,54.373535
340,Gate near: SD 34881 98393,-3.0040034,54.376858
341,Gate near: SD 35069 97766,-3.000964,54.371243
342,Gate near: SD 35135 97318,-2.999856,54.367233
343,Gate near: SD 35465 98563,-2.9950511,54.378462
344,Gate near: SD 35183 98089,-2.9992921,54.374165
345,Gate near: SD 35357 98448,-2.9966784,54.37741
346,Gate near: NY 41043 12859,-2.9120429,54.507596
347,Gate near: NY 57457 38254,-2.6622568,54.737445
348,Gate near: NY 00021 30953,-3.5515368,54.663711
349,Gate near: NY 37638 00901,-2.9620935,54.399742
350,Gate near: NY 29164 23722,-3.098076,54.603684
351,Gate near: SD 51725 82754,-2.7421789,54.238194
352,Gate near: SD 51160 81487,-2.7506409,54.226753
353,Gate near: SD 53284 81245,-2.7180394,54.224776
354,Gate near: SD 58916 96588,-2.633776,54.363144
355,Gate near: NY 12262 30564,-3.3617017,54.662495
356,Gate near: NY 39869 16231,-2.9308585,54.53776
357,Gate near: NY 53402 29382,-2.7238184,54.657363
358,Gate near: SD 41514 98690,-2.9019615,54.380329
359,Gate near: NY 55746 39837,-2.6890738,54.751525
360,Gate near: NY 26387 22361,-3.1407111,54.591054
361,Gate near: NY 26421 22303,-3.1401841,54.59054
362,Gate near: NY 25241 20722,-3.1580317,54.576162
363,Gate near: NY 24968 21189,-3.1623748,54.580316
364,Gate near: NY 24754 21223,-3.1656948,54.580585
365,Gate near: NY 24291 15301,-3.1713274,54.527309
366,Gate near: NY 24908 16294,-3.1620466,54.536328
367,Gate near: NY 25018 16695,-3.1604513,54.539948
368,Gate near: NY 25013 17134,-3.160636,54.543886
369,Gate near: NY 26024 18194,-3.1452865,54.553559
370,Gate near: NY 26829 20236,-3.1333488,54.572025
371,Gate near: NY 26682 22209,-3.1361178,54.58973
372,Gate near: NY 26643 22209,-3.1367126,54.589726
373,Gate near: NY 26907 22027,-3.1325909,54.588124
374,Gate near: NY 26706 21557,-3.1355883,54.583872
375,Gate near: NY 17823 01128,-3.267305,54.398958
376,Gate near: NY 17873 01111,-3.2665165,54.398814
377,Gate near: NY 71221 18742,-2.4465656,54.563083
378,Gate near: NY 34187 05712,-3.0163054,54.44253
379,Gate near: NY 34036 05528,-3.0185938,54.440856
380,Gate near: NY 33730 05230,-3.0232494,54.438141
381,Gate near: NY 33604 05256,-3.0252002,54.438355
382,Gate near: NY 32260 05221,-3.0458993,54.437869
383,Gate near: NY 32417 05614,-3.0435783,54.441417
384,Gate near: SD 40894 96543,-2.9110769,54.360969
385,Gate near: SD 40779 96648,-2.9128603,54.361896
386,Gate near: SD 40657 96700,-2.9147573,54.362349
387,Gate near: NY 31784 20362,-3.0567484,54.573848
388,Gate near: NY 31452 20964,-3.0620201,54.579216
389,Gate near: NY 38420 05924,-2.9510908,54.444968
390,Gate near: NY 19179 24524,-3.2528303,54.609387
391,Gate near: NY 20900 24287,-3.2261257,54.607529
392,Gate near: SD 61309 78795,-2.594628,54.203431
393,Gate near: SD 61534 78291,-2.5911233,54.198925
394,Gate near: SD 61517 78255,-2.5913708,54.198597
395,Gate near: SD 54133 77695,-2.7044722,54.192954
396,Gate near: SD 49812 87943,-2.772408,54.284645
397,Gate near: SD 49798 87925,-2.7726094,54.28448
398,Gate near: NY 65576 36102,-2.5359092,54.71873
399,Gate near: NY 71753 36851,-2.4400962,54.725847
