id,name,lon,lat
239,Stile near: NY37926 05085,-2.9585263,54.43737
240,Stile near: NY27724 21290,-3.1197608,54.581628
241,Stile near: NY33522 39855,-3.0343122,54.749233
242,Stile near: NY20383 24734,-3.2342482,54.611464
243,Stile near: SD50921 79616,-2.7540046,54.209922
244,Stile near: SD50962 79745,-2.7533952,54.211086
245,Stile near: SD51126 79947,-2.7509174,54.212909
246,Stile near: SD51604 80544,-2.743683,54.218321
247,Stile near: SD51756 80415,-2.741326,54.217176
248,Stile near: NY31953 02703,-3.0500519,54.415199
249,Stile near: SD27763 80817,-3.109308,54.217964
250,Stile near: SD27825 80683,-3.108322,54.216767
251,Stile near: SD27564 80251,-3.1122199,54.212854
252,Stile near: SD27632 80195,-3.1111569,54.212355
253,Stile near: SD27714 80020,-3.1098646,54.210797
254,Stile near: SD27709 79950,-3.1099239,54.210172
255,Stile near: SD27849 79782,-3.107738,54.208677
256,Stile near: SD27956 79651,-3.1060595,54.207518
257,Stile near: SD28044 79587,-3.104694,54.206954
258,Stile near: SD28142 82830,-3.1039769,54.236111
259,Stile near: SD28046 82958,-3.1054841,54.237244
260,Stile near: SD27977 83485,-3.1066605,54.241966
261,Stile near: SD27304 84508,-3.1172318,54.251066
262,Stile near: SD29943 89471,-3.0779006,54.296032
263,Stile near: SD49921 99037,-2.7725981,54.384344
264,Stile near: SD49540 98926,-2.7784426,54.383315
265,Stile near: SD49616 98158,-2.7771471,54.376421
266,Stile near: NY36741 04459,-2.9766701,54.431602
267,Stile near: NY36810 03985,-2.9755002,54.427347
268,Stile near: SD40698 80145,-2.9108373,54.21359
269,Stile near: NY45049 00229,-2.8478194,54.394559
270,Stile near: SD17999 82912,-3.2595753,54.235321
271,Stile near: SD48431 79978,-2.7922447,54.212929
272,Stile near: SD32594 85002,-3.0361672,54.256226
273,Stile near: NY24323 25948,-3.1735803,54.622977
274,Stile near: NY25086 24006,-3.1612652,54.605646
275,Stile near: NY25086 23992,-3.1612629,54.605516
276,Stile near: NY14938 17599,-3.3164614,54.546471
277,Stile near: NY19450 27194,-3.2493803,54.633417
278,Stile near: NY17915 26844,-3.2730454,54.630021
279,Stile near: NY23715 25022,-3.1827528,54.614569
280,Stile near: NY23774 24985,-3.1818301,54.61424
281,Stile near: NY22861 25290,-3.1960435,54.616848
282,Stile near: NY28827 18711,-3.1020808,54.55861
283,Stile near: NY28813 18576,-3.1022667,54.557389
284,Stile near: NY48794 06058,-2.7911693,54.447325
285,Stile near: SD66649 93109,-2.5143691,54.332447
286,Stile near: SD32378 84903,-3.0394671,54.255315
287,Stile near: NY41257 00448,-2.9062675,54.396099
288,Stile near: NY34762 04275,-3.007133,54.429698
289,Stile near: NY39205 03882,-2.938565,54.426719
290,Stile near: SD31599 83129,-3.051021,54.239264
291,Stile near: SD22889 89968,-3.1863908,54.299479
292,Stile near: SD21839 90224,-3.202595,54.301622
293,Stile near: SD21785 90161,-3.203404,54.301042
294,Stile near: SD21550 88582,-3.2065926,54.286823
295,Stile near: NY39862 13281,-2.9303562,54.511249
296,Stile near: NY32341 25224,-3.049262,54.617612
