id,name,lon,lat
182,Kissing Gate near: SD 27211 74328,-3.1162003,54.159577
183,Kissing Gate near: SD 29341 73719,-3.0834403,54.154408
184,Kissing Gate near: SD 42307 97639,-2.8895489,54.370974
185,Kissing Gate near: SD 42074 98086,-2.8932236,54.374964
186,Kissing Gate near: NY 50939 30712,-2.7622061,54.669076
187,Kissing Gate near: NY 50909 30731,-2.7626849,54.669248
188,Kissing Gate near: NY 50296 31596,-2.7723262,54.676958
189,Kissing Gate near: NY 50918 30673,-2.7625244,54.66873
190,Kissing Gate near: NY 50900 30696,-2.7628113,54.668937
191,Kissing Gate near: NY 50897 30719,-2.7628583,54.669138
192,Kissing Gate near: SD 36845 87807,-2.9715171,54.281981
193,Kissing Gate near: SD 36667 87257,-2.9741361,54.277018
194,Kissing Gate near: SD 31616 96894,-3.053906,54.36296
195,Kissing Gate near: SD 31625 97011,-3.0537959,54.364008
196,Kissing Gate near: SD 31647 97140,-3.0534951,54.365174
197,Kissing Gate near: NY 32279 05446,-3.0456616,54.439892
198,Kissing Gate near: NY 32332 05544,-3.0448613,54.440775
199,Kissing Gate near: NY 52127 30975,-2.7438357,54.671562
200,Kissing Gate near: SD 38890 92104,-2.9409989,54.320843
201,Kissing Gate near: SD 38871 92058,-2.9412895,54.32043
202,Kissing Gate near: NY 27311 20793,-3.1260295,54.5771
203,Kissing Gate near: SD 48787 91653,-2.7887922,54.317878
204,Kissing Gate near: NY 17764 01150,-3.2682187,54.399151
205,Kissing Gate near: SD 24298 89281,-3.1645691,54.293513
206,Kissing Gate near: NY 36563 43570,-2.9878783,54.783006
207,Kissing Gate near: NY 36723 43721,-2.9854315,54.784384
208,Kissing Gate near: NY 36559 44797,-2.9882149,54.794033
209,Kissing Gate near: NY 36627 45085,-2.9872232,54.796627
210,Kissing Gate near: NY 36950 45373,-2.9822675,54.799254
211,Kissing Gate near: NY 37095 45517,-2.9800394,54.800564
212,Kissing Gate near: NY 37295 45549,-2.9769398,54.800882
213,Kissing Gate near: NY 37430 45787,-2.9748872,54.803034
214,Kissing Gate near: NY 37533 46458,-2.9734362,54.809073
215,Kissing Gate near: NY 16210 19456,-3.2973448,54.563364
216,Kissing Gate near: NY 16072 19669,-3.2995332,54.565259
217,Kissing Gate near: NY 26150 24775,-3.1450006,54.612708
218,Kissing Gate near: NY 26300 24998,-3.142728,54.614734
219,Kissing Gate near: NY 25742 25682,-3.1515441,54.620797
220,Kissing Gate near: NY 25628 25924,-3.1533676,54.622954
221,Kissing Gate near: NY 32931 02173,-3.0348677,54.410566
222,Kissing Gate near: SD 31991 99991,-3.0488569,54.390838
223,Kissing Gate near: NY 30740 01045,-3.068357,54.400143
224,Kissing Gate near: SD 41563 97403,-2.9009506,54.368768
225,Kissing Gate near: SD 35878 84141,-2.9855947,54.248914
226,Kissing Gate near: SD 29631 97859,-3.0846854,54.371356
227,Kissing Gate near: SD 22263 71674,-3.1912607,54.13501
228,Kissing Gate near: SD 22403 71493,-3.1890831,54.133402
229,Kissing Gate near: SD 39870 80760,-2.9236498,54.219024
230,Kissing Gate near: SD 29404 77750,-3.0834196,54.190636
231,Kissing Gate near: SD 48897 92553,-2.7872417,54.325977
232,Kissing Gate near: NY 38791 02254,-2.9446059,54.412036
233,Kissing Gate near: SD 07697 98731,-3.4224828,54.375684
234,Kissing Gate near: SD 07706 98717,-3.4223322,54.375563
235,Kissing Gate near: SD 41382 99267,-2.9041088,54.385504
